category_mn,service_name_mn,price_mnt,is_available,notes
Элэг цөсний үйл ажиллагааны сорилууд,Билирубин/нийт/,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Билирубин/шууд/,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,ГОТ,8000,true,
Элэг цөсний үйл ажиллагааны сорилууд,ГПТ,8000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Нийт уураг,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Альбумин,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,ГГТрансфераз,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Шүлтлэгфосфотаз,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,ЛДГ,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Холестерол,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Триглицерид,5000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Сахар,6000,true,
Элэг цөсний үйл ажиллагааны сорилууд,Билирубин /шууд бус/,5000,true,
Цусны шинжилгээ,Цусны дэлгэрэнгүй шинжилгээ,35000,true,
Цусны шинжилгээ,Цусны бүлэг,5000,true,
Цусны шинжилгээ,Цусны резусфактор,3000,true,
Цусны шинжилгээ,Гемисиндром,3000,true,
Цусны шинжилгээ,Ретикулоцит тоолох,5000,true,
Цусны шинжилгээ,Ферритин,35000,true,
Цусны шинжилгээ,СОЭ,3000,true,
Эрдэсийн солилцооны сорилууд,Натри,13000,true,
Эрдэсийн солилцооны сорилууд,Кали,13000,true,
Эрдэсийн солилцооны сорилууд,Кальц,10000,true,
Эрдэсийн солилцооны сорилууд,Төмөр,10000,true,
Эрдэсийн солилцооны сорилууд,Магни,10000,true,
Эрдэсийн солилцооны сорилууд,Фосфор,10000,true,
Эрдэсийн солилцооны сорилууд,Хлор,10000,true,
Эрдэсийн солилцооны сорилууд,Зэс,12000,true,
Эрдэсийн солилцооны сорилууд,Цайр,12000,true,
Нойр булчирхайн сорил,"Амилаза /цус,шээсэнд/",15000,true,
Нойр булчирхайн сорил,Липаза фермент,30000,true,
Үе мөчний сорилууд,АСЛО /тоогоор/,15000,true,
Үе мөчний сорилууд,СРБ /тоогоор/,20000,true,
Үе мөчний сорилууд,РФ /тоогоор/,15000,true,
Үе мөчний сорилууд,Шээсний хүчил,10000,true,
Үе мөчний сорилууд,Кальц,10000,true,
Үе мөчний сорилууд,Anti-CCP,60000,true,
Дархлааны сорилууд,Фолийн хүчил,40000,true,
Дархлааны сорилууд,"В,С вирусын маркер",35000,true,
Дархлааны сорилууд,Сүрьеэ /антитела/,20000,true,
Дархлааны сорилууд,Хеликобактер /өтгөнд/,35000,true,
Дархлааны сорилууд,Хеликобактер /цусаар/,35000,true,
Дархлааны сорилууд,ANA,25000,true,
Дархлааны сорилууд,Anti DNA,30000,true,
Дархлааны сорилууд,Иммуноглобулин А,30000,true,
Дархлааны сорилууд,Иммуноглобулин М,30000,true,
Дархлааны сорилууд,Иммуноглобулин G,30000,true,
Дархлааны сорилууд,Иммуноглобулин E,30000,true,
Дархлааны сорилууд,ЛЕ-эс тоолох,50000,true,
Дархлааны сорилууд,Вит Д,45000,true,
Дархлааны сорилууд,ВИТ В-12,40000,true,
Коагулограмм,Протомбины хугацаа,6500,true,
Коагулограмм,Заримдаг ИТПХ,6000,true,
Коагулограмм,Фибриноген,6500,true,
Коагулограмм,Тромбины хугацаа,6000,true,
Зүрх судасны сорилууд,Холестерол,5000,true,
Зүрх судасны сорилууд,Триглицерид,5000,true,
Зүрх судасны сорилууд,ЛДГ,5000,true,
Зүрх судасны сорилууд,"ИНЛП,БНЛП",35000,true,
Зүрх судасны сорилууд,АСЛО,15000,true,
Зүрх судасны сорилууд,Тропонин-I,40000,true,
Зүрх судасны сорилууд,Кали,13000,true,
Бэлгийн дааврууд,Эстрадиол,25000,true,
Бэлгийн дааврууд,Пролактин,25000,true,
Бэлгийн дааврууд,Прогестрон,25000,true,
Бэлгийн дааврууд,ФСГормон,25000,true,
Бэлгийн дааврууд,ЛГ,25000,true,
Бэлгийн дааврууд,Тестостерон,50000,true,
Бэлгийн дааврууд,ХГГормон,35000,true,
Хавдрын маркерууд,Элэгний хавдар /AFP/,45000,true,
Хавдрын маркерууд,Ходоод нойр/бул /СА-19-9/,60000,true,
Хавдрын маркерууд,Өндгөвчний хавдар /СА-125/,50000,true,
Хавдрын маркерууд,Хөхний хавдар /СА-153/,40000,true,
Хавдрын маркерууд,Түрүү булчирхайн/хав /РSA/,45000,true,
Хавдрын маркерууд,Үр хөврөлийн хавдар /СЕА/,50000,true,
Хавдрын маркерууд,Ходоодны хавдар /СА-72-4/,70000,true,
